dealdate,section,dealtime,priceClose,TendSummary
20200303,1,090300,11322.00,-1
20200303,1,090400,11320.00,-1
20200303,1,090500,11303.00,-1
20200303,1,090600,11310.00,-1
20200303,1,090700,11317.00,-1
20200303,1,090800,11315.00,-1
20200303,1,090900,11307.00,-1
20200303,1,091000,11308.00,-1
20200303,1,091100,11315.00,-1
20200303,1,091200,11304.00,-1
20200303,1,091300,11312.00,-1
20200303,1,091400,11295.00,-1
20200303,1,091500,11295.00,-1
20200303,1,091600,11301.00,-1
20200303,1,091700,11290.00,-1
20200303,1,091800,11283.00,-1
20200303,1,091900,11293.00,-1
20200303,1,092000,11297.00,-1
20200303,1,092100,11298.00,-1
20200303,1,092200,11289.00,-1
20200303,1,092300,11296.00,-1
20200303,1,092400,11305.00,-1
20200303,1,092500,11320.00,-1
20200303,1,092600,11317.00,-1
20200303,1,092700,11327.00,-1
20200303,1,092800,11325.00,-1
20200303,1,092900,11338.00,-1
20200303,1,093000,11341.00,-1
20200303,1,093100,11327.00,-1
20200303,1,093200,11323.00,-1
20200303,1,093300,11324.00,-1
20200303,1,093400,11324.00,-1
20200303,1,093500,11316.00,-1
20200303,1,093600,11316.00,-1
20200303,1,093700,11325.00,-1
20200303,1,093800,11326.00,-1
20200303,1,093900,11322.00,-1
20200303,1,094000,11317.00,-1
20200303,1,094100,11312.00,-1
20200303,1,094200,11303.00,-1
20200303,1,094300,11295.00,-1
20200303,1,094400,11306.00,-1
20200303,1,094500,11296.00,-1
20200303,1,094600,11291.00,-1
20200303,1,094700,11290.00,-1
20200303,1,094800,11289.00,-1
20200303,1,094900,11281.00,1
20200303,1,095000,11292.00,-1
20200303,1,095100,11295.00,-1
20200303,1,095200,11297.00,-1
20200303,1,095300,11287.00,-1
20200303,1,095400,11287.00,-1
20200303,1,095500,11292.00,-1
20200303,1,095600,11301.00,-1
20200303,1,095700,11295.00,-1
20200303,1,095800,11287.00,-1
20200303,1,095900,11286.00,-1
20200303,1,100000,11297.00,-1
20200303,1,100100,11295.00,-1
20200303,1,100200,11291.00,-1
20200303,1,100300,11288.00,1
20200303,1,100400,11297.00,-1
20200303,1,100500,11312.00,-1
20200303,1,100600,11317.00,-1
20200303,1,100700,11315.00,-1
20200303,1,100800,11315.00,-1
20200303,1,100900,11309.00,-1
20200303,1,101000,11307.00,-1
20200303,1,101100,11304.00,-1
20200303,1,101200,11293.00,-1
20200303,1,101300,11291.00,-1
20200303,1,101400,11293.00,-1
20200303,1,101500,11295.00,-1
20200303,1,101600,11303.00,-1
20200303,1,101700,11304.00,-1
20200303,1,101800,11298.00,-1
20200303,1,101900,11292.00,-1
20200303,1,102000,11289.00,-1
20200303,1,102100,11289.00,-1
20200303,1,102200,11291.00,-1
20200303,1,102300,11290.00,-1
20200303,1,102400,11283.00,1
20200303,1,102500,11288.00,-1
20200303,1,102600,11293.00,-1
20200303,1,102700,11300.00,-1
20200303,1,102800,11304.00,-1
20200303,1,102900,11305.00,-1
20200303,1,103000,11312.00,-1
20200303,1,103100,11308.00,-1
20200303,1,103200,11307.00,-1
20200303,1,103300,11312.00,-1
20200303,1,103400,11317.00,-1
20200303,1,103500,11317.00,-1
20200303,1,103600,11320.00,-1
20200303,1,103700,11323.00,-1
20200303,1,103800,11316.00,-1
20200303,1,103900,11320.00,-1
20200303,1,104000,11310.00,-1
20200303,1,104100,11307.00,-1
20200303,1,104200,11311.00,-1
20200303,1,104300,11319.00,-1
20200303,1,104400,11320.00,-1
20200303,1,104500,11321.00,-1
20200303,1,104600,11316.00,-1
